review_id,business_id,review,pos,neg,vice,virtue,space,price,quantity,quality,name
RfvVIhz-Ozr-19zwYqFjJw,92STSHdBHGBLadmdzK-ALw,"I can't say enough about this office! I just finished a great deal of dental care and Invisalign which went great. My little girls and I actually looked forward two going every couple weeks for my Invisalign...amazing staff, especially Tammy (who watched over my girls while I was in the chair)...I wish there were a 10 star rating because that's what they deserve!",1,0,0,0,0,0,1,0,"David L Thomas, DMD"
0t1lNNdLDRJZVratQNAyxw,IR_0p0JUs0T9f7qf_WhWzw,"Half off my order and the impending game 7 of the NBA finals led me to order from Papa. Pretty surprising results as we went with the Hawaiian BBQ Chicken Pizza, pretty much the standard BBQ chicken with pineapple added. Should have got it well done, but somehow all the ingredients worked. Added on a $3.99 cinnapie and damn this thing was greasy, but good. Loaded with crumbly topping and lots of cinnamon, it was a worthy desert for this sort of place. Pizza here in about 20 minutes and nice delivery dude as well. Register online and then you will get all the deals.",1,1,0,1,0,0,1,0,Papa John's Pizza
MqQFbY7amsBF1padgqcVdg,IR_0p0JUs0T9f7qf_WhWzw,"Ordered from papa johns when staying in Phoenix. The cheese pizza was to be well done and we were supposed to have cheese cups with order. No cheese cups and the pizza was burnt. Took over 1 hour to get the new non-burnt pizza and the cheese cups. At this point, the breadsticks which the cheese cups were for were extremely cold. Very disappointing. 

The driver clearly took more orders before getting our fixed pizza out.  Not acceptable.",0,0,0,0,0,1,0,0,Papa John's Pizza
bvBjfVxmv1rDxcbdFpqn4g,IR_0p0JUs0T9f7qf_WhWzw,"Delivery took 2 hr, and I live just few block away from a store. Pizza was cold and pretty much waist of money.",0,0,0,0,0,0,0,0,Papa John's Pizza
8YWzrY18uC2yx3sM-cPqWg,vSEFzop2GDXsIWTLxIGMiw,"I was initially going to give Riva's 3-stars, as they're really just like any other Filiberto's/Umberto's/Roberto's/Ernie and Berto's out there, except for a couple of small differences.

For one, everything seems to be just a little bit more fresh there.  It's probably not, but it tastes like it.  And secondly, their little salsa bar is killer because their green salsa has plenty of flavor and they always have fresh pico de gallo out there, a must for any burrito.

The California Burrito, with carne asada, potatoes, pico de gallo and cheese, is a must, as is the standard Carne Asada Burrito.  But the real winner here is the Carne Asada Fries.  A metric ton of carne asada piled on top of freshly fried french fries, sour cream, cheese and guacamole for only $5?  Can't be beat, especially if you're hammered and it's 3 A.M. 

Not a classy joint, not a place you go if you're wary of stupid crap like ""health code violations"" (the best places never are), but definitely a late-night hot-spot for the Mill crowd.  Lovely.

And it's not for sissies that don't like ham in their beans either, damnit.",1,1,0,1,0,1,1,0,Rivas Mexican Food
WM92KGiqRyYvxdZYW9I-fA,vSEFzop2GDXsIWTLxIGMiw,"Rock the Rivas!

It's _bertos clone type shop.

Everything is good and fresh... 

It's cheap and quick.

Their Carne Asada is better than amado's and filli b's.

Hit it up after you're nice and drunk from rocking out at the Yucca Tap Room!",0,0,0,0,0,0,0,0,Rivas Mexican Food
SSjCukOs1j4ZUuWlixu1Cw,vSEFzop2GDXsIWTLxIGMiw,"so awesome coming here after bar like timeout or monkey pants closes.  I come from a place where there are NO 24 hour burrito places and to me this is stuff of legend.  

$4 for a gigantic burrito.

Get the Cali/Arizona burrito.  SO GOOD.  I cannot confirm or deny the cleanliness of the place.",0,0,0,0,0,1,0,0,Rivas Mexican Food
7JGCLABB5M8b9xOtURunFQ,vSEFzop2GDXsIWTLxIGMiw,"For being a 24 hour Mexican restaurant, this place is as good as it gets. There's nothing like a 3 am burrito or huevos rancheros after a long bike ride down mill. The night time crowd will probably consist of late night weirdos (I myself could be included) and the obnoxious children let out of yucca tap room. It also helps that it's basically across the street from where I often reside.I usually get a burrito with random veggie ingredients or a breakfast burrito and a horchata. There's HUGE portions, cheap prices, and their salsa is tasty too. I believe it's usually cooked to order and they are happy to deal with my picky, custom order. This definitely is gluttonous though so don't expect to feel sexy after eating.",1,1,0,0,1,1,1,0,Rivas Mexican Food
ZRvEiSJiMHz633DUTe5tVw,vSEFzop2GDXsIWTLxIGMiw,"This place has saved my life so many times.

I love delicious, gigantic burritos, especially when I can get them 24 hours a day.

Simple and sweet, that's all I need to say about Rivas.",0,0,0,0,0,0,1,0,Rivas Mexican Food
ehB-hp-aOwcpk_9d9M4RTw,vSEFzop2GDXsIWTLxIGMiw,"I give Riva's 4 stars because of the secret top burrito in town which is the California burrito and have them put a chilli relleno in the burrito which is the best of all worlds.  So basically this burrito consists of carne asada, potatoes, pico de gallo, cheese and a chilli relleno all wrapped up in a delicious tortilla.  Once you add some hot sauce to that it equals one of the best burritos in town.  I learned of this only because of one of the employees telling me to get it this way because all the people that work there eat it this way.  You have to try it!",0,0,0,0,0,0,1,0,Rivas Mexican Food
